epoch,train_loss,val_loss,val_iou,val_angle,val_success
1,35.05781270689884,25.344424684168928,0.10417350677800097,75.02267779334117,0.03954802259887006
2,21.832022219727943,24.705399809584105,0.10820458130715728,74.23528213285456,0.022598870056497175
3,22.392904755759375,23.331991896117476,0.15290440029737265,77.03389209811971,0.062146892655367235
4,21.291617732937052,28.338531601900435,0.011247598138711064,72.78445340819277,0.0
5,22.51933203443969,25.17509818211787,0.12099074013171808,78.99549400200279,0.011299435028248588
6,nan,nan,0.0,nan,0.0
7,nan,nan,0.0,nan,0.0
8,nan,nan,0.0,nan,0.0
9,nan,nan,0.0,nan,0.0
10,nan,nan,0.0,nan,0.0
